Country,Date,Open,High,Low,Close
AT,1980-01,0,1.932,-14.507,-6.1035
AT,1980-02,-6.1035,8.947,-6.534,-0.424415
AT,1980-03,-0.424415,13.179,-6.478,1.46417
AT,1980-04,1.46417,16.701,-2.853,3.72078
AT,1980-05,3.72078,19.557,-0.318,9.08332
AT,1980-06,9.08332,28.264,5.852,14.2713
AT,1980-07,14.2713,25.037,7.792,15.5337
AT,1980-08,15.5337,29.132,6.002,17.2123
AT,1980-09,17.2123,25.055,4.646,13.2235
AT,1980-10,13.2235,17.959,-1.687,7.08521
AT,1980-11,7.08521,13.233,-8.597,0.642194
AT,1980-12,0.642194,5.842,-14.504,-3.28931
AT,1981-01,-3.28931,2.961,-16.203,-5.16679
AT,1981-02,-5.16679,7.336,-10.374,-2.94697
AT,1981-03,-2.94697,17.64,-5.591,4.85943
AT,1981-04,4.85943,20.513,-3.406,7.09505
AT,1981-05,7.09505,23.878,1.672,12.1537
AT,1981-06,12.1537,27.739,5.074,16.1816
AT,1981-07,16.1816,26.448,7.904,16.8529
AT,1981-08,16.8529,29.419,7.194,17.0996
AT,1981-09,17.0996,25.537,6.725,13.7071
AT,1981-10,13.7071,21.815,-3.392,8.14525
AT,1981-11,8.14525,15.419,-6.807,1.92311
AT,1981-12,1.92311,2.893,-16.219,-4.25426
AT,1982-01,-4.25426,5.535,-15.084,-4.91041
AT,1982-02,-4.91041,4.727,-12.89,-3.52528
AT,1982-03,-3.52528,14.16,-5.638,1.82547
AT,1982-04,1.82547,17.384,-3.686,4.51212
AT,1982-05,4.51212,23.734,-0.927,12.1188
AT,1982-06,12.1188,26.019,6.154,16.4756
AT,1982-07,16.4756,27.199,9.116,18.4881
AT,1982-08,18.4881,28.395,8.224,17.4444
AT,1982-09,17.4444,26.976,7.84,16.2482
AT,1982-10,16.2482,17.182,0.597,8.40964
AT,1982-11,8.40964,13.481,-4.431,3.45656
AT,1982-12,3.45656,7.664,-8.7,-0.481812
AT,1983-01,-0.481812,8.389,-5.873,0.61591
AT,1983-02,0.61591,7.528,-18.098,-5.00641
AT,1983-03,-5.00641,13.079,-5.066,3.0228
AT,1983-04,3.0228,20.299,-1.701,8.25543
AT,1983-05,8.25543,24.599,3.491,12.2302
AT,1983-06,12.2302,26.246,5.133,15.7683
AT,1983-07,15.7683,32.416,10.059,20.8174
AT,1983-08,20.8174,31.509,8.124,18.1341
AT,1983-09,18.1341,27.585,5.236,14.1204
AT,1983-10,14.1204,23.769,-1.109,8.51499
AT,1983-11,8.51499,12.919,-9.432,1.14027
AT,1983-12,1.14027,9.948,-13.321,-2.00533
AT,1984-01,-2.00533,7.614,-9.676,-2.39504
AT,1984-02,-2.39504,4.583,-13.338,-3.39978
AT,1984-03,-3.39978,13.933,-6.864,0.271528
AT,1984-04,0.271528,17.498,-3.19,5.40726
AT,1984-05,5.40726,20.966,0.385,10.4248
AT,1984-06,10.4248,25.394,6.13,14.4199
AT,1984-07,14.4199,32.659,6.777,16.5302
AT,1984-08,16.5302,28.321,8.242,16.8039
AT,1984-09,16.8039,27.627,4.407,12.7311
AT,1984-10,12.7311,19.324,0.85,9.21201
AT,1984-11,9.21201,13.652,-3.763,3.12099
AT,1984-12,3.12099,5.884,-10.597,-1.48765
AT,1985-01,-1.48765,4.286,-22.705,-8.38101
AT,1985-02,-8.38101,6.54,-19.132,-4.70397
AT,1985-03,-4.70397,13.782,-4.848,1.41747
AT,1985-04,1.41747,17.969,-2.635,6.50099
AT,1985-05,6.50099,23.418,-1.762,12.6673
AT,1985-06,12.6673,23.572,5.137,13.5397
AT,1985-07,13.5397,29.166,8.443,18.3694
AT,1985-08,18.3694,28.928,6.981,17.0128
AT,1985-09,17.0128,24.986,3.192,14.2324
AT,1985-10,14.2324,23.613,-2.214,7.98425
AT,1985-11,7.98425,13.582,-12.693,-1.31731
AT,1985-12,-1.31731,7.716,-8.16,0.724535
AT,1986-01,0.724535,4.099,-10.977,-3.24144
AT,1986-02,-3.24144,1.678,-20.601,-8.54478
AT,1986-03,-8.54478,13.867,-11.372,0.739095
AT,1986-04,0.739095,20.151,-5.593,7.08974
AT,1986-05,7.08974,23.813,4.031,14.3414
AT,1986-06,14.3414,25.277,3.117,15.1491
AT,1986-07,15.1491,28.767,7.845,17.1632
AT,1986-08,17.1632,29.785,6.567,17.86
AT,1986-09,17.86,25.617,3.609,13.2293
AT,1986-10,13.2293,22.279,-0.526,8.82385
AT,1986-11,8.82385,13.084,-3.421,3.35041
AT,1986-12,3.35041,7.882,-12.882,-1.6917
AT,1987-01,-1.6917,4.76,-25.301,-8.13648
AT,1987-02,-8.13648,7.079,-17.071,-2.19337
AT,1987-03,-2.19337,12.867,-17.618,-3.06521
AT,1987-04,-3.06521,19.105,-2.453,7.10252
AT,1987-05,7.10252,20.921,1.555,9.88516
AT,1987-06,9.88516,26.844,5.076,14.7679
AT,1987-07,14.7679,28.054,6.355,18.2518
AT,1987-08,18.2518,24.974,5.68,15.883
AT,1987-09,15.883,27.61,0.798,16.0802
AT,1987-10,16.0802,19.446,-0.347,8.69372
AT,1987-11,8.69372,10.002,-3.366,2.40451
AT,1987-12,2.40451,8.525,-12.337,-0.87698
AT,1988-01,-0.87698,7.815,-5.877,0.0425995
AT,1988-02,0.0425995,7.914,-9.41,-0.915772
AT,1988-03,-0.915772,10.744,-8.435,0.353133
AT,1988-04,0.353133,18.557,-3.216,7.01035
AT,1988-05,7.01035,21.307,3.292,12.8544
AT,1988-06,12.8544,26.32,6.769,15.0183
AT,1988-07,15.0183,31.313,8.728,18.8478
AT,1988-08,18.8478,29.743,7.615,17.9917
AT,1988-09,17.9917,24.809,5.092,13.1854
AT,1988-10,13.1854,20.551,-3.442,8.98809
AT,1988-11,8.98809,8.057,-12.554,-0.551797
AT,1988-12,-0.551797,5.956,-13.019,-0.991337
AT,1989-01,-0.991337,6.326,-7,-1.29257
AT,1989-02,-1.29257,12.452,-4.846,1.39635
AT,1989-03,1.39635,20.801,-4.197,5.57392
AT,1989-04,5.57392,19.772,0.122,7.76031
AT,1989-05,7.76031,21.08,1.446,11.9494
AT,1989-06,11.9494,23.196,4.378,13.8914
AT,1989-07,13.8914,27.613,8.019,17.8794
AT,1989-08,17.8794,28.968,6.38,16.9902
AT,1989-09,16.9902,24.811,3.287,13.4071
AT,1989-10,13.4071,19.897,-0.056,8.77065
AT,1989-11,8.77065,15.696,-10.969,0.81345
AT,1989-12,0.81345,12.021,-10.683,-0.861527
AT,1990-01,-0.861527,8.514,-11.347,-1.60638
AT,1990-02,-1.60638,16.467,-4.58,2.98086
AT,1990-03,2.98086,20.223,-3.441,5.68903
AT,1990-04,5.68903,17.899,-4.382,5.99777
AT,1990-05,5.99777,23.419,2.842,13.401
AT,1990-06,13.401,27.893,6.652,15.3233
AT,1990-07,15.3233,29.145,7.749,17.0333
AT,1990-08,17.0333,28.918,7.872,18.3427
AT,1990-09,18.3427,22.844,3.247,11.7874
AT,1990-10,11.7874,21.284,-2.397,8.92026
AT,1990-11,8.92026,10.709,-6.388,2.38869
AT,1990-12,2.38869,4.51,-10.254,-3.83677
AT,1991-01,-3.83677,8.494,-13.305,-2.3468
AT,1991-02,-2.3468,11.118,-15.978,-4.28021
AT,1991-03,-4.28021,17.593,-3.416,4.98116
AT,1991-04,4.98116,15.547,-3.632,5.50134
AT,1991-05,5.50134,19.758,0.4,8.12839
AT,1991-06,8.12839,25.745,4.417,14.7558
AT,1991-07,14.7558,30.448,8.84,18.7279
AT,1991-08,18.7279,28.35,6.445,17.7186
AT,1991-09,17.7186,23.947,6.117,14.7731
AT,1991-10,14.7731,19.776,-4.284,6.65494
AT,1991-11,6.65494,10.779,-5.04,1.26829
AT,1991-12,1.26829,4.156,-15.692,-3.5775
AT,1992-01,-3.5775,4.803,-13.679,-2.08976
AT,1992-02,-2.08976,11.394,-8.494,-0.164329
AT,1992-03,-0.164329,11.941,-4.401,2.55857
AT,1992-04,2.55857,22.231,-3.239,6.59458
AT,1992-05,6.59458,22.409,4.046,12.8852
AT,1992-06,12.8852,25.813,8.601,16.004
AT,1992-07,16.004,30.566,10.573,18.9316
AT,1992-08,18.9316,32.326,10.087,21.5989
AT,1992-09,21.5989,23.346,4.109,13.7566
AT,1992-10,13.7566,18.519,-4.778,6.18729
AT,1992-11,6.18729,13.712,-5.041,2.86196
AT,1992-12,2.86196,7.587,-12.503,-2.91324
AT,1993-01,-2.91324,9.992,-17.096,-1.13841
AT,1993-02,-1.13841,5.511,-11.761,-2.71013
AT,1993-03,-2.71013,16.921,-11.234,0.775269
AT,1993-04,0.775269,20.377,-1.827,7.56012
AT,1993-05,7.56012,25.935,5.879,14.4513
AT,1993-06,14.4513,27.162,6.061,16.1542
AT,1993-07,16.1542,28.951,6.432,16.6124
AT,1993-08,16.6124,30.092,4.321,17.5484
AT,1993-09,17.5484,24.351,1.431,12.3717
AT,1993-10,12.3717,20.737,-2.211,8.00409
AT,1993-11,8.00409,11.313,-10.959,-1.18629
AT,1993-12,-1.18629,7.556,-8.82,-0.565816
AT,1994-01,-0.565816,8.732,-8.366,-0.233055
AT,1994-02,-0.233055,12.92,-12.935,-1.63272
AT,1994-03,-1.63272,17.582,-3.783,5.41346
AT,1994-04,5.41346,20.935,-2.218,6.36844
AT,1994-05,6.36844,22.675,0.069,12.0143
AT,1994-06,12.0143,29.576,4.725,15.8871
AT,1994-07,15.8871,31.138,10.801,20.7545
AT,1994-08,20.7545,31.458,9,19.4514
AT,1994-09,19.4514,25.729,2.572,14.6378
AT,1994-10,14.6378,21.194,-2.873,6.57013
AT,1994-11,6.57013,14.361,-3.033,4.88458
AT,1994-12,4.88458,9.37,-9.393,-0.51171
AT,1995-01,-0.51171,7.525,-13.081,-3.91068
AT,1995-02,-3.91068,10.824,-6.422,1.50804
AT,1995-03,1.50804,13.011,-6.932,0.791927
AT,1995-04,0.791927,21.508,-3.287,7.03539
AT,1995-05,7.03539,24.171,0.276,11.9074
AT,1995-06,11.9074,25.545,5.948,14.2035
AT,1995-07,14.2035,31.62,10.654,20.2583
AT,1995-08,20.2583,27.995,5.032,17.0005
AT,1995-09,17.0005,22.29,1.783,11.6445
AT,1995-10,11.6445,21.119,-0.693,10.3053
AT,1995-11,10.3053,10.852,-7.365,0.269137
AT,1995-12,0.269137,4.953,-14.468,-3.47709
AT,1996-01,-3.47709,2.332,-13.769,-5.42453
AT,1996-02,-5.42453,3.909,-14.934,-5.5379
AT,1996-03,-5.5379,10.958,-13.66,-0.959851
AT,1996-04,-0.959851,20.659,-4.084,6.53971
AT,1996-05,6.53971,23.832,2.282,12.2548
AT,1996-06,12.2548,27.225,6.004,16.2969
AT,1996-07,16.2969,25.765,6.708,15.9646
AT,1996-08,15.9646,26.605,7.757,16.3946
AT,1996-09,16.3946,21.081,2.824,9.44674
AT,1996-10,9.44674,20.08,0,7.9459
AT,1996-11,7.9459,16.53,-6.301,3.34753
AT,1996-12,3.34753,4.464,-20.283,-4.91915
AT,1997-01,-4.91915,1.99,-12.095,-5.00002
AT,1997-02,-5.00002,13.636,-10.302,0.68164
AT,1997-03,0.68164,14.517,-5.206,3.30356
AT,1997-04,3.30356,16.488,-5.83,4.10397
AT,1997-05,4.10397,25.485,1.283,12.5904
AT,1997-06,12.5904,27.528,2.277,15.8197
AT,1997-07,15.8197,24.592,9.309,16.3313
AT,1997-08,16.3313,26.687,8.876,17.9526
AT,1997-09,17.9526,25.262,4.007,14.0696
AT,1997-10,14.0696,22.786,-6.018,6.32548
AT,1997-11,6.32548,15.852,-7.271,2.19208
AT,1997-12,2.19208,6.689,-10.254,-0.921059
AT,1998-01,-0.921059,8.862,-12.859,-1.13479
AT,1998-02,-1.13479,13.57,-15.665,1.82141
AT,1998-03,1.82141,16.945,-7.013,1.69111
AT,1998-04,1.69111,20.576,-2.85,7.93087
AT,1998-05,7.93087,25.066,2.768,12.8756
AT,1998-06,12.8756,30.142,5.12,17.1643
AT,1998-07,17.1643,30.444,7.638,17.8585
AT,1998-08,17.8585,31.945,5.604,18.2468
AT,1998-09,18.2468,23.362,4.723,12.4085
AT,1998-10,12.4085,16.912,0.267,8.2972
AT,1998-11,8.2972,12.287,-12.479,-0.509964
AT,1998-12,-0.509964,5.449,-14.068,-2.89093
AT,1999-01,-2.89093,8.437,-14.872,-1.18455
AT,1999-02,-1.18455,7.811,-16.172,-3.19361
AT,1999-03,-3.19361,14.833,-5.075,3.17713
AT,1999-04,3.17713,19.449,-1.363,7.83909
AT,1999-05,7.83909,25.502,3.477,13.2715
AT,1999-06,13.2715,24.62,5.785,15.3108
AT,1999-07,15.3108,29.667,9.226,17.9722
AT,1999-08,17.9722,28.636,8.444,17.0606
AT,1999-09,17.0606,24.437,8.17,15.6418
AT,1999-10,15.6418,20.281,-2.81,8.31379
AT,1999-11,8.31379,15.678,-8.361,0.295499
AT,1999-12,0.295499,6.424,-11.179,-2.18218
AT,2000-01,-2.18218,6.775,-16.425,-4.64709
AT,2000-02,-4.64709,11.463,-6.829,0.803849
AT,2000-03,0.803849,14.043,-5.033,2.88122
AT,2000-04,2.88122,23.227,-3.603,9.6288
AT,2000-05,9.6288,25.185,2.845,14.4041
AT,2000-06,14.4041,30.685,6.139,17.7007
AT,2000-07,17.7007,28.066,7.202,16.2464
AT,2000-08,16.2464,32.539,9.034,19.2342
AT,2000-09,19.2342,24.218,6.005,13.5825
AT,2000-10,13.5825,21.65,1.834,10.1721
AT,2000-11,10.1721,14.465,-2.065,4.68286
AT,2000-12,4.68286,11.61,-10.451,0.302392
AT,2001-01,0.302392,4.778,-13.039,-3.02385
AT,2001-02,-3.02385,9.826,-8.882,-0.175106
AT,2001-03,-0.175106,15.581,-5.118,4.40492
AT,2001-04,4.40492,21.043,-3.877,5.98954
AT,2001-05,5.98954,25.17,4.131,14.3579
AT,2001-06,14.3579,27.838,4.516,14.61
AT,2001-07,14.61,29.65,9.386,18.5068
AT,2001-08,18.5068,30.489,8.041,19.287
AT,2001-09,19.287,21.894,3.616,10.6952
AT,2001-10,10.6952,24.197,1.685,11.5691
AT,2001-11,11.5691,12.451,-6.159,0.637075
AT,2001-12,0.637075,2.759,-17.771,-5.47542
AT,2002-01,-5.47542,11.609,-16.596,-2.97641
AT,2002-02,-2.97641,11.685,-7.506,2.35552
AT,2002-03,2.35552,15.869,-5.805,4.08983
